Part Number,Vos TC (max),Ios (max),BW -3 dB (typ),Ibias (typ),CMRR (min),0.1 to 10 Hz VNoise (typ),1 Hz Vnoise (typ),1 Hz Inoise (typ),Current Noise Density (typ),# of Amps,GBP (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Iq/Amp (typ),Vs span (min),Vs span (max),Package
,V/°C,A,Hz,A,dB,V p-p,V/rtHz,A/rtHz,A/rtHz,,Hz,V/us,V,V/rtHz,A,A,V,V,
LTC6241,0.0000025,0.000000000001,,0.000000000001,80,0.000001,0.000000052,,0.00000000000000056,2,18000000,10,0.000125,0.000000007,0.000000000075,0.0018,2.8,6,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LTC6241HV,0.0000025,0.000000000001,,0.000000000001,80,0.000001,0.000000054,,0.00000000000000056,2,18000000,10,0.000125,0.000000007,0.000000000075,0.0018,2.8,12,8-Lead SOIC (Narrow 0.15 Inch) 8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)
LTC6242,0.0000025,0.000000000001,,0.000000000001,80,0.000001,0.000000052,,0.00000000000000056,4,18000000,10,0.000125,0.000000007,0.000000000075,0.0018,2.8,6,16-Lead SSOP (Narrow 0.15 Inch) 16-Lead DFN (5mm x 3mm w/ EP)
LTC6242HV,0.0000025,0.000000000001,,0.000000000001,80,0.000001,0.000000054,,0.00000000000000056,4,18000000,10,0.000125,0.000000007,0.000000000075,0.0018,2.8,12,16-Lead SSOP (Narrow 0.15 Inch) 16-Lead DFN (5mm x 3mm w/ EP)
AD8642,,0.0000000000005,,0.00000000000025,90,0.0000042,0.00000063,,0.0000000000000005,2,3500000,3,0.00075,0.0000000275,0.000000000001,0.00029,5,26,8-Lead SOIC 8-Lead MSOP
AD8643,,0.0000000000005,,0.00000000000025,90,0.0000042,0.00000063,,0.0000000000000005,4,3500000,3,0.00075,0.0000000275,0.000000000001,0.00029,5,26,16-Lead LFCSP (3mm x 3mm w/ EP) 14-Lead SOIC
AD8655,,0.00000000001,,0.000000000001,85,,0.00000009,,0.000000000000001,1,28000000,11,0.00025,0.0000000027,0.00000000001,0.0045,2.7,5.5,8-Lead SOIC 8-Lead MSOP
AD8694,0.000006,0.0000000000005,,0.0000000000002,70,0.0000016,0.00000014,,0.00000000000005,4,10000000,5,0.002,0.0000000065,0.000000000001,0.00105,2.7,5.5,14-Lead SOIC 14-Lead TSSOP
ADA4850-1,,,175000000,0.0000023,85,,0.0000006,0.0000000002,0.0000000000025,1,70000000,160,0.0042,0.00000001,0.0000042,0.0025,2.7,6,8-Lead LFCSP (3mm x 3mm w/ EP)
ADA4850-2,,,175000000,0.0000023,85,,0.0000006,0.0000000002,0.0000000000025,2,70000000,160,0.0042,0.00000001,0.0000042,0.0025,2.7,6,16-Lead LFCSP (3mm x 3mm w/ EP)
