Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
,A/rtHz,,,Hz,Hz,V/us,V,V/rtHz,A,,A,V,V,$ US,mm²,
LT1358,800f,0,2,25M,,600,600µ,8n,500n,,2m,5,36,$6.25500 (LT1358CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1358IS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1359,800f,20,4,25M,,600,600µ,8n,500n,,2m,5,36,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1359IS14#TRPBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch),16-Lead SOIC (Narrow 0.15 Inch)"
LT1360,900f,0,1,50M,,800,1m,9n,1µ,,3.8m,3,36,$3.52500 (LT1360CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1360CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1363,1p,1746,1,70M,,1k,1.5m,9n,2µ,,6.3m,3,36,$4.35000 (LT1363CS8#TRPBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1363CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1413,20f,2251,2,950k,,300m,150µ,23n,,In to V-,330µ,3,22,$3.69000 (LT1413CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1413S8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP292,700f,1974,2,4M,,4,2m,15n,700n,In to V-,1m,4.5,33,$3.54000 (OP292GSZ),31mm² (8-Lead SOIC) (OP292GSZ),8-Lead SOIC
OP492,700f,0,4,4M,,4,2.5m,15n,700n,In to V-,1m,4.5,33,$6.06000 (OP492GSZ),54.25mm² (14-Lead SOIC) (OP492GSZ),14-Lead SOIC
AD822,800a,38644,2,1.8M,180k,3,1.5m,13n,12p,"In to V-, Output",900µ,5,30,$6.06000 (AD822ARZ),31mm² (8-Lead SOIC) (AD822ARZ-REEL),"CHIPS OR DIE,8-Lead PDIP,8-Lead SOIC,8-Lead MSOP"
AD826,1.5p,2787,2,50M,50M,350,2m,15n,6.6µ,,6.6m,5,36,$4.84500 (AD826ARZ),31mm² (8-Lead SOIC) (AD826ARZ-REEL7),"8-Lead PDIP,8-Lead SOIC"
AD828,1.5p,5180,2,100M,130M,450,2m,10n,6.6µ,,7.5m,5,36,$5.55000 (AD828ARZ-REEL7),31mm² (8-Lead SOIC) (AD828ARZ-REEL7),"8-Lead PDIP,8-Lead SOIC"
LT1206,2p,254,1,,66M,900,10m,3.6n,,,20m,10,36,$6.27000 (LT1206CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1206CS8#TRPBF),"7-Lead TO-220,7-Lead DD Pak,8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP113,400f,4169,1,3.4M,,1.2,75µ,4.7n,600n,In to V-,3m,4,36,$3.88500 (OP113FSZ),31mm² (8-Lead SOIC) (OP113FSZ),8-Lead SOIC
OP413,400f,32,4,3.4M,,1.2,125µ,4.7n,600n,In to V-,3m,4,36,$10.36500 (OP413FSZ-REEL),111.825mm² (16 ld SOIC) (OP413ESZ-REEL),16 ld SOIC
OP495,100f,7955,4,85k,,30m,500µ,45n,20n,Output,175µ,3,36,$10.08000 (OP495GSZ-REEL),111.825mm² (16 ld SOIC) (OP495GSZ-REEL),"14-Lead PDIP,16 ld SOIC"
AD820,800a,55478,1,1.8M,,3,1m,13n,10p,"In to V-, Output",900µ,5,30,$3.88500 (AD820ARMZ),31mm² (8-Lead SOIC) (AD820ARZ),"8-Lead PDIP,8-Lead SOIC,8-Lead MSOP"
LT1208,1.1p,614,2,45M,,400,3m,22n,8µ,,7m,8,36,$7.51500 (LT1208CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1208CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1209,1.1p,9,4,45M,,400,3m,22n,8µ,,7m,8,36,,61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1209CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Narrow 0.15 Inch)"
LT1212,200f,764,4,13M,,7,275µ,12n,125n,In to V-,1.3m,2.5,36,$8.19000 (LT1212CN#PBF),61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1212CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Narrow 0.15 Inch)"
LT1214,200f,0,4,28M,,8.5,275µ,10n,200n,In to V-,2.7m,2.5,36,$8.19000 (LT1214CN#PBF),61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1214CS#TRPBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Narrow 0.15 Inch)"
LT1216,500f,15,4,23M,,30,450µ,12n,600n,In to V-,4.75m,2.5,36,$8.19000 (LT1216CN#PBF),61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1216CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Narrow 0.15 Inch)"
LT1252,1.5p,362,1,,250M,250,15m,3n,,,8.5m,4,28,$3.15000 (LT1252CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1252CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1253,1.5p,40,2,,250M,250,15m,3n,,,6m,4,28,$4.53000 (LT1253CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1253CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1254,1.5p,0,4,250M,,250,15m,3n,,,6m,4,28,$8.11500 (LT1254CN#PBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1254CS#TRPBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch)"
SSM2135,500f,1848,2,3.5M,,900m,2m,5.2n,750n,In to V-,3.8m,4,36,$5.46000 (SSM2135SZ-REEL7),31mm² (8-Lead SOIC) (SSM2135SZ),8-Lead SOIC
LT1195,2p,0,1,50M,,165,8m,70n,2µ,,12m,4,18,,31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1195CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1211,200f,662,2,13M,,7,150µ,12n,100n,In to V-,1.3m,2.5,36,$4.57500 (LT1211CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1211CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1211MJ8,200f,662,2,13M,,7,150µ,12n,100n,,1.3m,2.5,36,,31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1211CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1213,200f,1628,2,28M,,8.5,150µ,10n,160n,In to V-,2.7m,2.5,36,$4.57500 (LT1213CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1213CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1213MJ8,200f,1628,2,28M,,8.5,150µ,10n,160n,,2.7m,2.5,36,,31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1213CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1215,500f,157,2,23M,,30,300µ,12n,500n,In to V-,4.75m,2.5,36,$4.57500 (LT1215CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1215CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP467,800f,493,4,28M,,170,500µ,6n,600n,,8m,9,36,$16.59000 (OP467GSZ),82.6281mm² (20-Lead LCC) (OP467ARC/883C),"20-Lead LCC,14-Lead PDIP,14-Lead CerDIP,16 ld SOIC,CHIPS OR DIE"
OP467S,,,4,,,,500µ,,600n,,,9,36,,,"LCC:CER LEADLESS CHIP CARR,CERDIP GLASS SEAL,CERPAK(HERM CER SRF MOUNT)"
AD795,600a,6398,1,1.6M,1.6M,1,500µ,9n,2p,,1.5m,8,36,$7.50000 (AD795JRZ-REEL7),31mm² (8-Lead SOIC) (AD795JRZ-REEL),8-Lead SOIC
AD810,1.5p,2759,1,,80M,1k,6m,2.9n,10µ,,6.8m,5,36,$5.02500 (AD810ARZ),31mm² (8-Lead SOIC) (AD810ARZ-REEL),"8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC,CHIPS OR DIE"
AD817,1.5p,11566,1,50M,50M,350,2m,15n,6.6µ,,7m,5,36,$3.19500 (AD817ARZ-REEL),31mm² (8-Lead SOIC) (AD817ARZ),"8-Lead PDIP,8-Lead SOIC"
AD818,1.5p,7838,1,100M,130M,500,2m,10n,6.6µ,,7m,5,36,$4.50000 (AD818ARZ-REEL),31mm² (8-Lead SOIC) (AD818ARZ),"8-Lead PDIP,8-Lead SOIC"
LT1112,8f,6518,2,750k,,300m,60µ,14n,250p,,350µ,2,40,$3.76500 (LT1112CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1112IS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),CHIPS OR DIE"
LT1114,8f,48,4,750k,,300m,60µ,14n,250p,,350µ,2,40,$8.11500 (LT1114CN#PBF),61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1114IS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Narrow 0.15 Inch)"
LT1128,1p,217,1,20M,,6,40µ,850p,90n,,7.4m,8,44,$8.76000 (LT1128CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1128CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LTC1250,4f,48,1,1.5M,,10,10µ,15n,200p,,3m,4.75,18,$5.04000 (LTC1250CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LTC1250CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP213,400f,18629,2,3.4M,,1.2,100µ,4.7n,600n,In to V-,3m,4,36,$4.77000 (OP213FSZ-REEL7),31mm² (8-Lead SOIC) (OP213FSZ-REEL7),"8-Lead PDIP,8-Lead SOIC"
AD797,2p,19680,1,110M,8M,20,40µ,900p,900n,,10.5m,10,36,$12.31500 (AD797ANZ),31mm² (8-Lead SOIC) (AD797BRZ-REEL7),"8-Lead PDIP,8-Lead SOIC"
LT1217,700f,74,1,,10M,500,3m,6.5n,,,1m,10,36,$5.91000 (LT1217CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1217CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP285,900f,3494,2,9M,,22,250µ,6n,350n,,2.5m,9,44,$5.23500 (OP285GSZ-REEL),31mm² (8-Lead SOIC) (OP285GSZ),8-Lead SOIC
OP295,100f,21937,2,85k,,30m,500µ,45n,20n,Output,175µ,3,36,$4.65000 (OP295GSZ-REEL),31mm² (8-Lead SOIC) (OP295GSZ-REEL7),"8-Lead PDIP,8-Lead SOIC"
LT1225,1.5p,13,1,150M,,400,1m,7.5n,8µ,,7m,5,36,$6.19500 (LT1225CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1225CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1226,1.5p,0,1,1G,,400,1m,2.6n,8µ,,7m,5,36,$5.26500 (LT1226CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1226CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1227,1.7p,0,1,,140M,1.1k,10m,3.2n,,,10m,4,36,$4.42500 (LT1227CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1227CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1227MJ8,1.7p,0,1,,,1.1k,10m,3.2n,,,10m,4,36,,31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1227CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LTC1047,1.5f,523,2,200k,,200m,10µ,,30p,"In to V-, Output",60µ,4.75,16,$8.95500 (LTC1047CN8#PBF),65.7352mm² (8-Lead PDIP (Narrow 0.3 Inch)) (LTC1047CN8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
OP275,1.5p,24422,2,9M,,22,1m,6n,350n,,2.5m,9,44,$2.11500 (OP275GSZ-REEL7),31mm² (8-Lead SOIC) (OP275GSZ-REEL),"8-Lead PDIP,8-Lead SOIC"
LT1187,1.5p,0,1,50M,,165,10m,65n,2µ,,13m,4,18,$6.19500 (LT1187CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1187CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1189,1.25p,0,1,180M,,220,3m,30n,2µ,,13m,4,18,,31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1189CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LTC1151,2.2f,72,2,2M,,2.5,5µ,55n,100p,In to V-,900µ,4.75,36,$12.57000 (LTC1151CSW#TRPBF),65.7352mm² (8-Lead PDIP (Narrow 0.3 Inch)) (LTC1151CN8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
AD811,20p,7125,1,,140M,400,3m,1.9n,5µ,,14.5m,9,36,$9.19500 (AD811JRZ),31mm² (8-Lead SOIC) (AD811JRZ-REEL7),"20-Lead LCC,8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC,16 ld SOIC,LCC:CER LEADLESS CHIP CARR,CHIPS OR DIE"
LT1124,300f,31483,2,12.5M,,4.5,70µ,2.7n,20n,,2.3m,8,44,$5.62500 (LT1124CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1124AMPS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1125,300f,153,4,12.5M,,4.5,90µ,2.7n,20n,,2.3m,8,44,$9.15000 (LT1125CN#PBF),111.6136mm² (16-Lead SOIC (Wide 0.3 Inch)) (LT1125CSW#TRPBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
LT1126,300f,115,2,65M,,11,70µ,2.7n,20n,,2.6m,8,44,$6.18000 (LT1126CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1126CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1127,300f,0,4,65M,,11,90µ,2.7n,20n,,2.6m,8,44,$12.57000 (LT1127CSW#TRPBF),111.6136mm² (16-Lead SOIC (Wide 0.3 Inch)) (LT1127CSW#PBF),"14-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
LT1228,1.4p,308,1,,100M,500,5m,20n,1µ,,9m,4,36,$7.53000 (LT1228CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1228CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1229,1.4p,0,2,,100M,700,10m,3.2n,,,6m,4,36,$6.01500 (LT1229CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1229CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1230,1.4p,0,4,,100M,700,10m,3.2n,,,6m,4,36,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1230CS#TRPBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch)"
OP282,10f,1032,2,4M,,9,3m,36n,100p,In to V+,210µ,9,36,$2.38500 (OP282GSZ),31mm² (8-Lead SOIC) (OP282GSZ-REEL),"8-Lead SOIC,8-Lead MSOP"
OP482,10f,12083,4,4M,,9,4m,36n,100p,In to V+,210µ,9,36,$3.64500 (OP482GSZ-REEL7),2.5164mm² (14-Ball WLCSP (2.123mm x 1.128mm)) (OP482ACBZ-R7),"14-Ball WLCSP (2.123mm x 1.128mm),14-Lead PDIP,14-Lead SOIC"
RH1013M,,,2,800k,,200m,300µ,24n,30n,In to V-,,4,44,,54.1782mm² (10-Lead Flatpak (Glass Sealed Hermetic)) (5962R8876003VHA),"8-Lead CERDIP (Narrow 0.3 Inch),10-Lead Flatpak (Glass Sealed Hermetic),8-Lead TO-5 (0.2 Inch PCD),CHIPS OR DIE"
RH1014M,70f,,4,500k,,200m,300µ,24n,30n,,550µ,4,44,,78.3336mm² (14-Lead Flatpak (Hermetic)) (RH1014MW),"14-Lead CERDIP (Narrow 0.3 Inch, Hermetic),14-Lead Flatpak (Hermetic)"
LT1220,2p,0,1,45M,,250,1m,17n,300n,,8m,5,36,$5.46000 (LT1220CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1220CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1221,2p,1,1,150M,,250,1m,6n,300n,,8m,5,36,$5.29500 (LT1221CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1221CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1222,2p,0,1,500M,,200,300µ,3n,300n,,8m,5,36,$6.82500 (LT1222CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1222CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1223,2.2p,93,1,,100M,1k,3m,33n,,,6m,5,36,$5.73000 (LT1223CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1223CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
OP497,20f,262,4,500k,,150m,75µ,15n,150p,,625µ,4,40,$10.03500 (OP497GSZ-REEL),111.825mm² (16 ld SOIC) (OP497FSZ),"14-Lead PDIP,16 ld SOIC,LCC:CER LEADLESS CHIP CARR"
AD745,6.9f,2,1,20M,,12.5,500µ,2.9n,250p,,10m,9.6,36,$14.11500 (AD745JRZ-16-REEL),111.825mm² (16 ld SOIC) (AD745JRZ-16),16 ld SOIC
LT1190,4p,63,1,50M,,450,10m,50n,2.5µ,,32m,4,18,$3.42000 (LT1190CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1190CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1191,4p,21,1,90M,,450,5m,25n,2.5µ,,32m,4,18,,31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1191CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1192,4p,0,1,350M,,450,2.5m,9n,2.5µ,,32m,4,18,,31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1192CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1193,4p,0,1,80M,,500,12m,50n,3.5µ,,35m,4,18,$5.82000 (LT1193CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1193CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1194,4p,20,1,350M,,500,6m,15n,3.5µ,,35m,4,18,$6.73500 (LT1194CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1194CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1224,1.5p,429,1,45M,,400,2m,22n,8µ,,7m,5,36,$5.23500 (LT1224CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1224CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
AD704,50f,721,4,800k,,150m,150µ,15n,270p,,600µ,4,36,$11.13000 (AD704JRZ-16-REEL),82.6281mm² (20-Lead LCC) (AD704SE/883B),"20-Lead LCC,14-Lead PDIP,16 ld SOIC"
AD706,50f,29697,2,800k,,150m,100µ,15n,200p,,600µ,4,36,$4.86000 (AD706JRZ-REEL),31mm² (8-Lead SOIC) (AD706ARZ),"8-Lead PDIP,8-Lead SOIC"
AD743,6.9f,6,1,4.5M,,2.8,1m,2.9n,400p,,10m,9.6,36,,111.825mm² (16 ld SOIC) (AD743JRZ-16),16 ld SOIC
AD829,1.5p,29291,1,750M,120M,230,,1.7n,7µ,,5.3m,9,36,$5.92500 (AD829ARZ-REEL7),31mm² (8-Lead SOIC) (AD829JRZ),"20-Lead LCC,8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC,CHIPS OR DIE"
OP297,20f,3201,2,500k,,150m,50µ,17n,100p,,625µ,4,40,$4.39500 (OP297GSZ),31mm² (8-Lead SOIC) (OP297FSZ-REEL7),"8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC"
AD827,1.5p,5,2,50M,50M,300,2m,15n,7µ,,10.5m,9,36,$14.37000 (AD827JRZ-16-REEL),83.6577mm² (8-Lead CerDIP) (5962-9211701MPA),"LCC:CER LEADLESS CHIP CARR,8-Lead PDIP,8-Lead CerDIP,16 ld SOIC,CHIPS OR DIE"
LT1122,2f,96,1,14M,,80,600µ,14n,75p,,7.5m,20,40,$4.90500 (LT1122DCN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1122CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LTC1049,2f,88,1,800k,,800m,10µ,80n,50p,"In to V-, Output",200µ,4.75,18,$4.32000 (LTC1049CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LTC1049CS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LTC1150,1.8f,742,1,2.5M,,3,10µ,90n,100p,In to V-,800µ,4.75,32,$7.42500 (LTC1150CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LTC1150CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
AD746,10f,30,2,13M,13M,75,1.5m,16n,250p,,4m,9,36,$9.34500 (AD746JRZ),31mm² (8-Lead SOIC) (AD746JRZ),"8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC,CHIPS OR DIE"
LT1077,65f,2973,1,230k,,80m,40µ,27n,9n,In to V-,48µ,2.2,44,$3.21000 (LT1077CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1077IS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
AD843,12p,325,1,34M,,250,1m,19n,1n,,12m,9,36,$13.45500 (AD843JRZ-16-REEL),83.6577mm² (8-Lead CerDIP) (5962-9098001MPA),"8-Lead PDIP,14-Lead CerDIP,8-Lead CerDIP,16 ld SOIC,LCC:CER LEADLESS CHIP CARR,CHIPS OR DIE"
LTC1051,2.2f,150,2,2.5M,,4,5µ,70n,65p,"In to V-, Output",1m,4.75,16.5,$8.11500 (LTC1051CN8#PBF),65.7352mm² (8-Lead PDIP (Narrow 0.3 Inch)) (LTC1051CN8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
OP249,3f,7600,2,4.7M,,22,750µ,16n,75p,,3.5m,9,36,$4.15500 (OP249GSZ),31mm² (8-Lead SOIC) (OP249GSZ-REEL),"8-Lead PDIP,8-Lead SOIC,LCC:CER LEADLESS CHIP CARR,CERDIP GLASS SEAL"
AD844,12p,268,1,,60M,2k,150µ,2n,250n,,6.5m,9,36,$9.54000 (AD844JRZ-16),83.6577mm² (8-Lead CerDIP) (5962-8964401PA),"8-Lead PDIP,8-Lead CerDIP,16 ld SOIC,CHIPS OR DIE"
AD844S,,,1,,60M,,300µ,,450n,,,9,36,,,CERDIP GLASS SEAL
AD848,1.5p,101,1,175M,35M,300,2.3m,5n,5µ,,4.8m,9,36,$6.69000 (AD848JRZ),31mm² (8-Lead SOIC) (AD848JRZ),"8-Lead PDIP,8-Lead CerDIP,8-Lead SOIC,CHIPS OR DIE"
AD708,120f,100,2,900k,,300m,30µ,9.6n,1n,,2.75m,6,36,$7.80000 (AD708JNZ),83.6577mm² (8-Lead CerDIP) (AD708SQ/883B),"8-Lead PDIP,8-Lead CerDIP"
AD841,,14,1,40M,40M,300,1m,15n,5µ,,11m,10,36,,82.6281mm² (20-Lead LCC) (AD841SE/883B),"20-Lead LCC,14-Lead PDIP,14-Lead CerDIP,LCC:CER LEADLESS CHIP CARR"
LT1097,8f,1065,1,700k,,200m,50µ,14n,250p,,350µ,2,40,$3.51000 (LT1097CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1097S8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1115,1.2p,1043,1,70M,,15,200µ,900p,380n,,8.5m,8,44,$5.82000 (LT1115CN8#PBF),65.7352mm² (8-Lead PDIP (Narrow 0.3 Inch)) (LT1115CN8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),16-Lead SOIC (Wide 0.3 Inch)"
LTC1053,2.2f,360,4,2.5M,,4,5µ,70n,65p,"In to V-, Output",1m,4.75,16.5,$17.46000 (LTC1053CSW#PBF),125.1264mm² (18-Lead SOIC (Wide 0.3 Inch)) (LTC1053CSW#TRPBF),"14-Lead PDIP (Narrow 0.3 Inch),18-Lead SOIC (Wide 0.3 Inch)"
OP177,140f,55901,1,600k,,300m,25µ,10n,2n,,1.6m,6,44,$1.63500 (OP177GSZ),31mm² (8-Lead SOIC) (OP177FSZ),"8-Lead PDIP,8-Lead SOIC"
